Insegna,Tipo via,Via,Civico,Codice via,Municipio,Accesso,Isolato,Presso,Forma commercio prevalente,Forma commercio secondaria,Forma vendita,Superficie somministrazione,Bar caffè,Bar gastronomici e simili,Biliardo,Bocce,Carte,Cibi cotti preconfezionati,Discoteche,Genere merceol.autorizz.sanit.,Giochi legge 388/2000,Mensa,Pizzeria,Prodotti di gastronomia,Ristorante,Spaccio bevande analcoliche,Tavola calda,Tavola fredda,Fast food,Osteria,Self service,Trattoria,context_type,IsAnomaly
trendy,VIA,QUARENGHI GIACOMO,23,7478,8,accesso interno,300,Non specificato,somministrazione,Assente,self service,224.0,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,True,True,False,True,False,other,False
area di servizio,VIALE,RUBICONE,30,1568,9,accesso esterno,0,Non specificato,somministrazione,Assente,al banco,132.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,other,False
Non specificata,PIAZZA,TIRANA,17,5378,6,area aperta recintata,157,dopolavoro ff ss,somministrazione,Assente,misto,71.0,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,other,False
Non specificata,VIA,ALDINI ANTONIO,33,7461,8,accesso interno,120,parrocchia santi mm. nazar,minuto,somministrazione,misto,49.0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,other,False
bar c/o universita,VIA,GOLGI CAMILLO,19,2220,3,accesso interno,122,università,somministrazione,Assente,self service,98.0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,school,False
Non specificata,VIA,PERGOLESI GIOVANNI BATTISTA,2,2231,3,accesso interno,16,dopolavoro ferroviario,somministrazione,Assente,al banco,115.0,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,other,False
burger king  (fast-food),PIAZZALE,CADORNA LUIGI,000,601,1,accesso interno,0,Non specificato,somministrazione,Assente,al banco,131.0,True,True,False,False,False,False,False,True,False,False,True,False,True,False,True,True,True,False,True,False,other,False
Non specificata,CORSO,DI PORTA VITTORIA,001,3016,1,accesso interno,0,Non specificato,somministrazione,Assente,al banco,92.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,other,False
alcatraz,VIA,VALTELLINA,021,1188,9,accesso esterno,0,Non specificato,somministrazione,Assente,al banco,127.0,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,other,False
il treno arte diletto,VIA,SAN GREGORIO,46,2123,2,accesso esterno,69,Non specificato,somministrazione,Assente,misto,395.0,True,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,other,False
Non specificata,PIAZZA,CORIOLANO,002,7231,8,accesso interno,0,Non specificato,somministrazione,Assente,al banco,84.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,VIA,BORSI GIOSUE',18,5237,6,accesso interno,78,Non specificato,somministrazione,Assente,al banco,83.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,VIA,DON BOSCO,4,4144,4,accesso interno,0,Non specificato,somministrazione,Assente,al banco,83.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,VIA,ROSMINI ANTONIO,001,7132,1,accesso interno,0,Non specificato,somministrazione,Assente,al banco,83.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,VIA,VAL TROMPIA,49,7494,8,accesso interno,0,Non specificato,somministrazione,Assente,al banco,83.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,VIALE,LIGURIA,26,5264,6,accesso interno,156,Non specificato,somministrazione,Assente,al banco,83.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,other,False
bar c/o circ.ricr.vignati,VIA,VIGNATI CESARE,18,1515,9,accesso interno,190,Non specificato,somministrazione,Assente,al banco,190.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,horeca,False
Non specificata,VIA,TOMMEI UGO,3,3226,4,accesso interno,86,circolo arci ricotti,somministrazione,Assente,misto,147.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,other,False
circolo arci,VIA,LORENTEGGIO,183,5132,6,accesso interno,132,circolo arci guidetti,somministrazione,Assente,al banco,52.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,VIA,GOZZOLI BENOZZO,140,6789,7,accesso esterno,0,Non specificato,somministrazione,Assente,al banco,83.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,other,False
Non specificata,PIAZZALE,FERRARA,2,4158,4,accesso interno,125,Non specificato,somministrazione,Assente,al banco,19.0,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,other,False
bar metro,VIA,DEL VECCHIO POLITECNICO,8,2101,1,accesso interno,0,Non specificato,somministrazione,Assente,al banco,163.0,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,horeca,False
Non specificata,VIA,GALLARATE,64,7420,8,accesso interno,0,Non specificato,somministrazione,Assente,al banco,97.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,other,False
Non specificata,VIA,SATTA SEBASTIANO,20,7352,8,accesso interno,0,Non specificato,somministrazione,Assente,al banco,83.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,VIA,GIOIA MELCHIORRE,193,1108,2,accesso interno,120,circolo sa.ma.cor.,somministrazione,Assente,al banco,41.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,other,False
